국가,도시,관광지명,캐치프레이즈,카테고리
"베트남","닌빈","-","석회암 카르스트 지형으로 육지의 하롱베이라 불리는 닌빈","city"
"베트남","다낭","-","베트남 중부 최대 항구도시 다낭","city"
"베트남","무이네","-","붉은 모래언덕과 하얀 모래언덕이 공존하는 무이네","city"
"베트남","하노이","-","베트남의 수도이자 1000년 역사를 가진 하노이","city"
"베트남","하롱베이","-","3000여개의 섬과 바위가 떠있는 하롱베이","city"
"베트남","호이안","-","15세기 고대 무역항의 모습을 간직한 호이안","city"
"베트남","호치민","-","베트남 최대 상업도시 호치민","city"
"베트남","나트랑","-","베트남 최고의 해변 휴양도시 나트랑","city"
"슬로바키아","슬로바키아","-","중세 성곽과 산악지대로 이루어진 슬로바키아","city"
"아랍에미리트","두바이","-","사막 위에 세워진 미래형 도시 두바이","city"
"아랍에미리트","아부다비","-","UAE의 수도이자 석유의 도시 아부다비","city"
"영국","런던","-","템스강이 흐르는 영국의 수도 런던","city"
"영국","스트랫퍼드어폰에이번","-","셰익스피어의 고향 스트랫퍼드어폰에이번","city"
"영국","옥스포드","-","900년 전통의 대학도시 옥스포드","city"
"오스트리아","비엔나","-","다뉴브강변의 음악의 도시 비엔나","city"
"오스트리아","잘츠부르크","-","모차르트의 고향 잘츠부르크","city"
"오스트리아","할슈타트","-","소금으로 번영한 호수마을 할슈타트","city"
"이탈리아","로마","-","7개의 언덕 위에 세워진 영원한 도시 로마","city"
"일본","구마모토","-","400년 역사의 성곽도시 구마모토","city"
"일본","벳부","-","일본 최대 온천 용출량을 자랑하는 온천의 고장 벳부","city"
"일본","오사카","-","일본 제2의 도시이자 간사이 지역의 경제 중심지 오사카","city"
"일본","후쿠오카","-","규슈 최대 도시이자 아시아 관문 도시 후쿠오카","city"
"중국","광저우","-","2천년 역사를 가진 중국 남부 최대 상업도시 광저우","city"
"중국","도문","-","북한과 국경을 접하고 있는 두만강변의 국경도시 도문","city"
"중국","상해","-","중국 최대 경제도시이자 동방의 파리로 불리는 상해","city"
"중국","연길","-","조선족자치주의 수도이자 백두산 관광의 거점도시 연길","city"
"중국","용정","-","윤동주 시인의 고향이자 조선족 문화의 중심지 용정","city"
"중국","우전","-","차 문화의 발상지이자 천년 고찰이 있는 우전","city"
"중국","이도백하","-","백두산 천지 관광의 출발점이 되는 이도백하","city"
"중국","천저우","-","1300년 역사를 가진 해상 실크로드의 출발지 천저우","city"
"체코","체스키크롬로프","-","13세기 중세 모습을 그대로 간직한 체스키크롬로프","city"
"체코","프라하","-","천년의 역사를 지닌 보헤미아의 수도 프라하","city"
"태국","파타야","-","태국 동부 연안의 대표적인 해변 휴양도시 파타야","city"
"베트남","닌빈","땀꼭","소형 보트를 타고 동굴을 지나는 땀꼭","spot"
"베트남","닌빈","짱안","세계문화유산으로 지정된 짱안","spot"
"베트남","닌빈","바이딘 사원","베트남 최대 규모의 불교 사원 바이딘 사원","spot"
"베트남","닌빈","항무아","500개의 계단으로 이루어진 항무아","spot"
"베트남","다낭","미케 해변","다낭에서 가장 긴 해안선을 가진 미케 해변","spot"
"베트남","다낭","용다리","매주 토일 불을 뿜는 용다리","spot"
"베트남","다낭","한시장","다낭 최대 전통시장 한시장","spot"
"베트남","무이네","요정의 샘","사막 한가운데 자연이 만든 오아시스 요정의 샘","spot"
"베트남","무이네","무이네 어촌 마을","새벽부터 어선이 드나드는 무이네 어촌 마을","spot"
"베트남","하노이","호안끼엠 호수","하노이 시민들의 휴식처 호안끼엠 호수","spot"
"베트남","하노이","문묘 - 국자감","베트남 최초의 대학 문묘 - 국자감","spot"
"베트남","하노이","호치민 묘소","베트남 건국의 아버지가 잠든 호치민 묘소","spot"
"베트남","하노이","36거리","하노이 구시가지 1000년 역사의 36거리","spot"
"베트남","하노이","한기둥사원","1개의 기둥 위에 세워진 한기둥사원","spot"
"베트남","하노이","바딘광장","호치민이 독립을 선언한 바딘광장","spot"
"베트남","하롱베이","승솟 동굴","하롱베이에서 가장 큰 석회암 동굴 승솟 동굴","spot"
"베트남","하롱베이","티톱 섬","하롱베이 전경을 조망하는 티톱 섬","spot"
"베트남","하롱베이","바이짜이 해변","하롱베이에서 가장 큰 깟바섬의 바이짜이 해변","spot"
"베트남","하롱베이","깟바 섬","하롱베이 최대 규모의 깟바 섬","spot"
"베트남","하롱베이","비경","1,600여개의 크고 작은 섬들이 만드는 하롱베이 비경","spot"
"베트남","호이안","떤키 고가","400년 된 목조다리 떤키 고가","spot"
"베트남","호이안","호이안 야시장","호이안 최대 규모의 야시장","spot"
"베트남","호이안","호이안 대나무배(틴퉁)","대나무로 엮어 만든 전통 바구니배 틴퉁","spot"
"베트남","호이안","투본강 투어","호이안 구시가지를 관통하는 투본강 투어","spot"
"베트남","호이안","내원교","호이안의 상징인 400년 된 목조다리 내원교","spot"
"베트남","호이안","광조 회관","중국 광동성 출신 화교들의 집회소 광조 회관","spot"
"베트남","호이안","풍흥의 집","200년 된 전통 목조가옥 풍흥의 집","spot"
"베트남","호이안","호이안 야경투어","랜턴불빛이 투강에 비치는 호이안 야경투어","spot"
"베트남","호이안","호이안 씨클로","베트남 전통 인력거 씨클로","spot"
"베트남","호치민","구찌 터널","베트콩이 팠던 총 길이 250km의 구찌 터널","spot"
"베트남","호치민","통일궁","베트남 전쟁 종료의 역사적 현장 통일궁","spot"
"베트남","호치민","벤탄 시장","호치민 최대 재래시장인 벤탄 시장","spot"
"베트남","호치민","사이공 노트르담 대성당","붉은 벽돌로 지어진 사이공 노트르담 대성당","spot"
"베트남","나트랑","롱선사","나트랑에서 가장 오래된 롱선사","spot"
"베트남","나트랑","담시장","나트랑 최대 재래시장인 담시장","spot"
"베트남","나트랑","빈원더스","나트랑 최대 규모의 테마파크 빈원더스","spot"
"베트남","나트랑","나트랑 대성당","유럽풍의 성당으로 순전히 돌로 지어진 나트랑 대성당","spot"
"베트남","나트랑","포나가르 참사원","8세기에 건립된 참족의 힌두교 사원 포나가르","spot"
"베트남","나트랑","나트랑 야시장","해산물과 현지 음식이 가득한 나트랑 야시장","spot"
"베트남","나트랑","씨클로 체험","베트남 전통 인력거 씨클로 체험","spot"
"베트남","신비로운 사막의 도시 판랑","쯩선 사원","판랑에서 가장 오래된 참족 사원 쯩선","spot"
"베트남","신비로운 사막의 도시 판랑","416 광장","판랑 시내 중심가의 416 광장","spot"
"베트남","신비로운 사막의 도시 판랑","포클롱 가라이","13세기 참족이 건설한 포클롱 가라이 탑","spot"
"베트남","신비로운 사막의 도시 판랑","판랑 사막","붉은 모래언덕이 펼쳐진 판랑 사막","spot"
"슬로바키아","슬로바키아","브라티슬라바 성","도나우강을 굽어보는 사각형 요새 브라티슬라바 성","spot"
"아랍에미리트","두바이","부르즈 할리파","세계에서 가장 높은 828미터 초고층 빌딩 부르즈 할리파","spot"
"아랍에미리트","두바이","팜 주메이라","야자수 모양으로 조성된 인공섬 팜 주메이라","spot"
"아랍에미리트","두바이","두바이 사막 사파리","낙타를 타고 모래언덕을 달리는 두바이 사막 사파리","spot"
"아랍에미리트","두바이","바스타키야 & 알 씨프","두바이의 옛 모습을 간직한 전통마을 바스타키야","spot"
"아랍에미리트","두바이","두바이 크릭 아브라","전통 목선으로 두바이 크릭을 가로지르는 아브라","spot"
"아랍에미리트","두바이","DIFC","두바이 국제금융센터 DIFC","spot"
"아랍에미리트","두바이","스키 두바이","사막 속 실내 스키장 스키 두바이","spot"
"아랍에미리트","두바이","분수쇼","세계 최대 규모의 두바이 분수쇼","spot"
"아랍에미리트","두바이","버즈칼리파 전망대","세계에서 가장 높은 빌딩 버즈칼리파 전망대","spot"
"아랍에미리트","아부다비","셰이크 자이드 그랜드 모스크","82개의 돔을 가진 셰이크 자이드 그랜드 모스크","spot"
"아랍에미리트","아부다비","루브르 아부다비","아랍 최초의 유니버설 박물관 루브르 아부다비","spot"
"아랍에미리트","아부다비","에미레이트 팰리스","7성급 호텔로 불리는 황금빛 돔의 에미레이트 팰리스","spot"
"아랍에미리트","아부다비","캐피탈 게이트타워","18도 기울어진 세계에서 가장 기운 건물 캐피탈 게이트타워","spot"
"아랍에미리트","아부다비","HQ 빌딩","원형의 독특한 외관을 가진 아부다비 HQ 빌딩","spot"
"영국","런던","타워 브리지","1894년 완공된 런던의 상징 타워 브리지","spot"
"영국","런던","대영 박물관","800만 점의 소장품을 보유한 대영 박물관","spot"
"영국","런던","런던 아이","높이 135미터의 대관람차 런던 아이","spot"
"영국","런던","웨스트민스터 사원 외관","영국 왕실 대관식이 열리는 웨스트민스터 사원","spot"
"영국","런던","영국 국립 미술관","2300여 점의 회화작품을 소장한 영국 국립 미술관","spot"
"영국","런던","브리티쉬 라이브러리","영국 최대 규모의 국립도서관 브리티쉬 라이브러리","spot"
"영국","런던","세인트폴 대성당 외관","바로크 양식의 거대한 돔을 가진 세인트폴 대성당","spot"
"영국","런던","밀레니엄 브릿지","2000년 개통된 보행자 전용 현수교 밀레니엄 브릿지","spot"
"영국","런던","글로브 극장 주변 탐방","셰익스피어 원작이 공연되는 16세기 원형극장 글로브 극장","spot"
"영국","런던","피카딜리 광장","네온사인과 대형 전광판으로 유명한 피카딜리 광장","spot"
"영국","런던","레스터 스퀘어","런던 최대 영화관 밀집지역 레스터 스퀘어","spot"
"영국","런던","코벤트 가든 탐방","1830년 건립된 실내 빅토리아풍 시장 코벤트 가든","spot"
"영국","런던","그리니치 천문대","세계 표준시 기준점 본초자오선이 지나는 그리니치 천문대","spot"
"영국","런던","자연사박물관 방문","7천만 점의 동식물 표본을 소장한 런던 자연사박물관","spot"
"영국","스트랫퍼드어폰에이번","셰익스피어 생가","1564년 세계적 극작가가 태어난 셰익스피어 생가","spot"
"영국","스트랫퍼드어폰에이번","홀리 트리니티 교회","셰익스피어가 잠들어 있는 홀리 트리니티 교회","spot"
"영국","스트랫퍼드어폰에이번","앤 해서웨이의 집","셰익스피어 부인의 옛집 앤 해서웨이의 집","spot"
"영국","옥스포드","크라이스트 처치 칼리지","해리포터 촬영지로 유명한 크라이스트 처치 칼리지","spot"
"영국","옥스포드","보들리안 도서관","유럽에서 가장 오래된 공공도서관 보들리안 도서관","spot"
"영국","옥스포드","애슈몰린 박물관","세계 최초의 대학 박물관 애슈몰린 박물관","spot"
"영국","옥스포드","막달렌 칼리지","15세기에 설립된 옥스포드 막달렌 칼리지","spot"
"오스트리아","비엔나","쇤브룬 궁전","1441개의 방을 가진 합스부르크 왕가의 쇤브룬 궁전","spot"
"오스트리아","잘츠부르크","게트라이데 거리","모차르트의 생가가 있는 게트라이데 거리","spot"
"오스트리아","할슈타트","할슈타트 호수","소금으로 번영한 마을 할슈타트의 맑은 호수","spot"
"오스트리아","할슈타트","할슈타트 소금 광산","7000년 역사를 가진 세계에서 가장 오래된 소금 광산","spot"
"오스트리아","할슈타트","할슈타트 중앙 광장","16세기 건물들이 둘러싼 할슈타트 중앙 광장","spot"
"오스트리아","할슈타트","뼈의 집 (카르네)","1200여 개의 해골이 보관된 뼈의 집","spot"
"이탈리아","로마","콜로세움","고대 아치 건축의 백미로 유명한 원형 경기장 콜로세움","spot"
"이탈리아","로마","바티칸 시국","세계 최소 국가이자 가톨릭의 성지 바티칸 시국","spot"
"이탈리아","로마","트레비 분수","동전을 던지면 소원이 이루어진다는 트레비 분수","spot"
"이탈리아","로마","산탄젤로 성","하드리아누스 황제의 무덤으로 세워진 산탄젤로 성","spot"
"이탈리아","로마","스페인 광장","138개의 계단으로 이루어진 스페인 광장","spot"
"일본","구마모토","아소산","세계 최대급 칼데라를 가진 활화산 아소산","spot"
"일본","벳부","벳부 지옥 온천 순례","8개의 지옥 온천을 돌아보는 벳부 지옥 온천 순례","spot"
"일본","벳부","가마도 지옥","98도 고온의 온천수가 끓어오르는 가마도 지옥","spot"
"일본","오사카","유니버설 스튜디오 재팬","할리우드 영화를 테마로 한 유니버설 스튜디오 재팬","spot"
"일본","후쿠오카","다자이후 텐만구","학문의 신 스가와라 미치자네를 모신 다자이후 텐만구","spot"
"중국","광저우","북경로","광저우 최대 보행자 상업거리 북경로","spot"
"중국","광저우","광저우유람선(야경)","주강을 따라 펼쳐지는 광저우 야경 유람선","spot"
"중국","도문","두만강 공원","한국과 북한을 잇는 국경의 강 두만강 공원","spot"
"중국","도문","중/조 국경지대 도문관광","압록강 하류 중국과 조선의 국경도시 도문","spot"
"중국","상해","동방명주타워&진열관","높이 468미터 상해의 랜드마크 동방명주타워","spot"
"중국","상해","스타벅스 로스터리&LV크루즈 쇼핑몰","아시아 최대 규모의 스타벅스 로스터리","spot"
"중국","용정","해란강","용정에서 가장 맑은 물이 흐르는 해란강","spot"
"중국","우전","서책 야경 뱃놀이","천년 고진 우전 서책의 야경 뱃놀이","spot"
"중국","우전","동책 뱃놀이","수향마을 우전 동책 뱃놀이","spot"
"중국","우전","백침관","1800년 역사를 가진 우전 전통 건축물 백침관","spot"
"중국","우전","삼백주","백색 벽돌로 지어진 우전의 전통 양조장 삼백주","spot"
"중국","우전","염색방","천연 쪽으로 염색하는 우전 전통 염색방","spot"
"중국","이도백하","백두산 천지","해발 2194미터 화구호 백두산 천지","spot"
"중국","이도백하","장백폭포","68미터 높이에서 떨어지는 장백폭포","spot"
"중국","이도백하","백두산 남파","중국에서 가장 가까운 백두산 남파 코스","spot"
"중국","이도백하","백두산 북파","천지 전망이 가장 좋은 백두산 북파","spot"
"중국","이도백하","백두산 서파","원시림이 그대로 보존된 백두산 서파","spot"
"중국","이도백하","온천지대","82도의 뜨거운 물이 솟는 온천지대","spot"
"중국","이도백하","금강대협곡","화산 폭발로 형성된 금강대협곡","spot"
"중국","천저우","망산","천저우 전경을 한눈에 내려다보는 망산","spot"
"중국","천저우","소동강","안개가 모여드는 맑고 깨끗한 소동강","spot"
"중국","천저우","도솔영암","기암괴석이 솟아있는 도솔영암","spot"
"중국","천저우","용경협곡","깊은 협곡을 흐르는 용경협곡","spot"
"중국","천저우","비천산","천저우에서 가장 높은 봉우리 비천산","spot"
"중국","천저우","고의령","고대 교역로가 지나는 고의령","spot"
"중국","천저우","유휴거리","전통 상점들이 늘어선 유휴거리","spot"
"체코","체스키크롬로프","성 비투스 교회","14세기에 지어진 고딕양식의 성 비투스 교회","spot"
"체코","체스키크롬로프","중앙 광장","체스키크롬로프 구시가지 중심 중앙 광장","spot"
"체코","프라하","구시청사 천문시계","600년 역사의 프라하 구시청사 천문시계","spot"
"체코","프라하","프라하 트램 + 야경 투어","100년 역사의 트램을 타고 둘러보는 프라하 야경 투어","spot"
"태국","파타야","카오이여우 컨트리 클럽","파타야 최고의 산악코스를 자랑하는 카오이여우 컨트리 클럽","spot"
"태국","파타야","피닉스 골드 골프 & 컨트리클럽","27홀 챔피언십 코스의 피닉스 골드 골프 & 컨트리클럽","spot"
"태국","파타야","부라파 골프 & 리조트","태국 동부 최대 규모의 부라파 골프 & 리조트","spot"
